file,folder,data_shape,times_shape,n_channels,n_samples,time_samples,times_match,time_start,time_end,sampling_rate,contains_nan,nan_count,std_first_channel,other_data_exists
2510001A01.mat,2510001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.13789939880371,True
2510001C01.mat,2510001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,15.201693534851074,True
2510001L01.mat,2510001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,32.19945526123047,True
2510101A01.mat,2510101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,28.173871994018555,True
2510101C01.mat,2510101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,14.713554382324219,True
2510101L01.mat,2510101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.105972290039062,True
2510201A01.mat,2510201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.212230682373047,True
2510201C01.mat,2510201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,20.00322151184082,True
2510201L01.mat,2510201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.74180793762207,True
2510301A01.mat,2510301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,45.00564956665039,True
2510301C01.mat,2510301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,40.42429733276367,True
2510301L01.mat,2510301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,71.10783386230469,True
2510401A01.mat,2510401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,14.936651229858398,True
2510401C01.mat,2510401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,37.428680419921875,True
2510401L01.mat,2510401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.03456115722656,True
2510501A01.mat,2510501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,18.622251510620117,True
2510501C01.mat,2510501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,16.6865177154541,True
2510501L01.mat,2510501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,67.26692962646484,True
2510601A01.mat,2510601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,28.417133331298828,True
2510601C01.mat,2510601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,33.788875579833984,True
2510601L01.mat,2510601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.874332427978516,True
2510701A01.mat,2510701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,38.6092414855957,True
2510701C01.mat,2510701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,20.239994049072266,True
2510701L01.mat,2510701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,28.061473846435547,True
2510801A01.mat,2510801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,43.312320709228516,True
2510801C01.mat,2510801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,57.60545349121094,True
2510801L01.mat,2510801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,38.31195831298828,True
2510901A01.mat,2510901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.567821502685547,True
2510901C01.mat,2510901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.296993255615234,True
2510901L01.mat,2510901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,18.321170806884766,True
2511001A01.mat,2511001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.578256607055664,True
2511001C01.mat,2511001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,14.261149406433105,True
2511001L01.mat,2511001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.509048461914062,True
2511101A01.mat,2511101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.766958236694336,True
2511101C01.mat,2511101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,16.63340187072754,True
2511101L01.mat,2511101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,68.88433837890625,True
2511201A01.mat,2511201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.643577575683594,True
2511201C01.mat,2511201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,32.984683990478516,True
2511201L01.mat,2511201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,76.39612579345703,True
2511301A01.mat,2511301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,18.381229400634766,True
2511301C01.mat,2511301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.164918899536133,True
2511301L01.mat,2511301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,36.691917419433594,True
2511401A01.mat,2511401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,10.267004013061523,True
2511401C01.mat,2511401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.27353858947754,True
2511401L01.mat,2511401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,27.77262306213379,True
2511501A01.mat,2511501,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,27.072853088378906,True
2511501C01.mat,2511501,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,22.84899139404297,True
2511501L01.mat,2511501,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,37.73447036743164,True
2511601A01.mat,2511601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,46.028717041015625,True
2511601C01.mat,2511601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.93134689331055,True
2511601L01.mat,2511601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.281543731689453,True
2511701A01.mat,2511701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,38.24055862426758,True
2511701C01.mat,2511701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.63078689575195,True
2511701L01.mat,2511701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,86.9955062866211,True
2511801A01.mat,2511801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,48.35972595214844,True
2511801C01.mat,2511801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,52.58882522583008,True
2511801L01.mat,2511801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,50.16363525390625,True
2511901A01.mat,2511901,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,21.33283042907715,True
2511901C01.mat,2511901,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,25.466230392456055,True
2511901L01.mat,2511901,"(17, 8000)","(8000,)",17,8000,8000,True,-2000.0,1999.5,2000,False,0,155.35462951660156,True
2512001A01.mat,2512001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.893754959106445,True
2512001C01.mat,2512001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.533306121826172,True
2512001L01.mat,2512001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,31.491334915161133,True
2512101A01.mat,2512101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.240272521972656,True
2512101C01.mat,2512101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.289194107055664,True
2512101L01.mat,2512101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,43.06148910522461,True
2512201A01.mat,2512201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,59.71585464477539,True
2512201C01.mat,2512201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.53465461730957,True
2512201L01.mat,2512201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,57.311153411865234,True
2512301A01.mat,2512301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.38097381591797,True
2512301C01.mat,2512301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,27.28819465637207,True
2512301L01.mat,2512301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,25.792375564575195,True
2512401A01.mat,2512401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.818477630615234,True
2512401C01.mat,2512401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.030332565307617,True
2512401L01.mat,2512401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,33.56832504272461,True
2512501A01.mat,2512501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,27.534421920776367,True
2512501C01.mat,2512501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.4794864654541,True
2512501L01.mat,2512501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,40.81649398803711,True
2512601A01.mat,2512601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.407489776611328,True
2512601C01.mat,2512601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,33.066864013671875,True
2512601L01.mat,2512601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,89.0089111328125,True
2512701A01.mat,2512701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.589786529541016,True
2512701C01.mat,2512701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.1859130859375,True
2512701L01.mat,2512701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.299161911010742,True
2512801A01.mat,2512801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,32.399147033691406,True
2512801C01.mat,2512801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,33.91065979003906,True
2512801L01.mat,2512801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,31.70235824584961,True
251701L01.mat,251701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,31.478452682495117,True
251801L01.mat,251801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,72773.921875,True
251901L01.mat,251901,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,52.033668518066406,True
252001L01.mat,252001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,6502.34326171875,True
252101L01.mat,252101,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,64.07266235351562,True
252601L01.mat,252601,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,24.129199981689453,True
252801L01.mat,252801,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,45.627708435058594,True
253101L01.mat,253101,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,44.218658447265625,True
253201L01.mat,253201,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,57.04728698730469,True
253501L01.mat,253501,"(20, 8000)","(8000,)",20,8000,8000,True,-2000.0,1999.5,2000,False,0,21.198223114013672,True
254101A01.mat,254101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,15.787347793579102,True
254101C01.mat,254101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,12.315422058105469,True
254101L01.mat,254101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,16.09770965576172,True
254401A01.mat,254401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,15.621160507202148,True
254401C01.mat,254401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,14.658856391906738,True
254401L01.mat,254401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,30.611215591430664,True
254601C01.mat,254601,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,21.884267807006836,True
254601L01.mat,254601,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,42.082672119140625,True
254601A01.mat,254701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,34.35562515258789,True
254701A01.mat,254701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,145.67356872558594,True
254701C01.mat,254701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,107.8010025024414,True
254701L01.mat,254701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,163.88479614257812,True
254801A01.mat,254801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,23.025211334228516,True
254801C01.mat,254801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,52.82002258300781,True
254801L01.mat,254801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,30.537405014038086,True
254901A01.mat,254901,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5882.5205078125,True
254901C01.mat,254901,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5816.07373046875,True
254901L01.mat,254901,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5814.68798828125,True
255001A01.mat,255001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.7382187843322754,True
255001C01.mat,255001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.7806276082992554,True
255001L01.mat,255001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.7803115844726562,True
255101A01.mat,255101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,2323.64892578125,True
255101C01.mat,255101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,6981.533203125,True
255101L01.mat,255101,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,6329.640625,True
255201A01.mat,255201,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,25.412961959838867,True
255201C01.mat,255201,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,53.027591705322266,True
255201L01.mat,255201,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,27.524728775024414,True
255301A01.mat,255301,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,7023.77001953125,True
255301C01.mat,255301,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,6907.59130859375,True
255301L01.mat,255301,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5924.20751953125,True
255401A01.mat,255401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,10.32233715057373,True
255401C01.mat,255401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,14.91845417022705,True
255401L01.mat,255401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,10.8179292678833,True
255501C01.mat,255401,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.673495888710022,True
255501A01.mat,255501,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.6102685928344727,True
255501L01.mat,255501,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.6780405044555664,True
255601A01.mat,255601,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.663968563079834,True
255601C01.mat,255601,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.6871651411056519,True
255601L01.mat,255601,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,2.9326586723327637,True
255701A01.mat,255701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5.750594139099121,True
255701C01.mat,255701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5.5457916259765625,True
255701L01.mat,255701,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,5.611104488372803,True
255801A01.mat,255801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.8051270246505737,True
255801C01.mat,255801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.7608518600463867,True
255801L01.mat,255801,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.6296346187591553,True
255901L01.mat,255901,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1.8281289339065552,True
256001A01.mat,256001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,1864.620361328125,True
256001C01.mat,256001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,101.4555892944336,True
256001L01.mat,256001,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,745.664794921875,True
